"year","id","region","arealFjell","mean_snow"
1959,1,"Nord-Norge",59822.7350921747,142.59999930023
1959,2,"Midt-Norge",18294.6375230299,135.80632691528
1959,3,"Østlandet",19004.1775274179,83.8980516947661
1959,4,"Vestlandet",20329.6250265664,160.393679085456
1959,5,"Sørlandet",7085.62001515692,88.9581119228761
1960,1,"Nord-Norge",59822.7350921747,69.2044934066478
1960,2,"Midt-Norge",18294.6375230299,64.0493016718813
1960,3,"Østlandet",19004.1775274179,88.2700180816457
1960,4,"Vestlandet",20329.6250265664,117.181950791536
1960,5,"Sørlandet",7085.62001515692,157.031758803554
1961,1,"Nord-Norge",59822.7350921747,113.649259206191
1961,2,"Midt-Norge",18294.6375230299,95.0833418473281
1961,3,"Østlandet",19004.1775274179,81.3942473649993
1961,4,"Vestlandet",20329.6250265664,158.94680009434
1961,5,"Sørlandet",7085.62001515692,138.539551777029
1962,1,"Nord-Norge",59822.7350921747,126.330991504971
1962,2,"Midt-Norge",18294.6375230299,159.076814834709
1962,3,"Østlandet",19004.1775274179,105.544883297575
1962,4,"Vestlandet",20329.6250265664,250.21515208488
1962,5,"Sørlandet",7085.62001515692,190.835561450352
1963,1,"Nord-Norge",59822.7350921747,172.932636361969
1963,2,"Midt-Norge",18294.6375230299,124.23328631952
1963,3,"Østlandet",19004.1775274179,63.1356925718107
1963,4,"Vestlandet",20329.6250265664,136.601467861813
1963,5,"Sørlandet",7085.62001515692,87.5045832185902
1964,1,"Nord-Norge",59822.7350921747,160.323240408004
1964,2,"Midt-Norge",18294.6375230299,149.842854022412
1964,3,"Østlandet",19004.1775274179,67.5900092441793
1964,4,"Vestlandet",20329.6250265664,163.18738142729
1964,5,"Sørlandet",7085.62001515692,99.5272199695028
1965,1,"Nord-Norge",59822.7350921747,159.583233061969
1965,2,"Midt-Norge",18294.6375230299,199.618547351844
1965,3,"Østlandet",19004.1775274179,115.767255728299
1965,4,"Vestlandet",20329.6250265664,249.902735285935
1965,5,"Sørlandet",7085.62001515692,157.485302741175
1966,1,"Nord-Norge",59822.7350921747,108.696039893552
1966,2,"Midt-Norge",18294.6375230299,99.3071500180996
1966,3,"Østlandet",19004.1775274179,74.3389791879468
1966,4,"Vestlandet",20329.6250265664,141.703634410187
1966,5,"Sørlandet",7085.62001515692,110.994117496218
